Investigador,Nombre del producto,Tipo,Autores,Lugar,Año,Páginas,Palabras,Área
Yorladys Mayilsen Martínez Aroca,Caracterización socio-económica de las familias de los productores asociados a APROFRUVERF, Documento de trabajo (Working Paper),"YORLADYS MAYILSEN MARTINEZ AROCA, ANGELA MARIA LOPERA MOLANO, DANIEL LOPERA MOLANO, MARLY VIVIANA TAFUR OSORIO, CARLOS MAURICIO SANTANA SAENZ, TATIANA HERNANDEZ CIFUENTES",.,2018,,,"Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria,"
Olimpo Jose Garcia Beltran,Low-cost spectrophotometer for in-situ detection of mercury in water, Documento de trabajo (Working Paper),"OLIMPO JOSE GARCIA BELTRAN, OSWALDO LOPEZ SANTOS, DAVID FERNANDO GONZALEZ MORALES",.,2018,,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Automatización y Sistemas de Control,"
Alexander Cortés Soto,Guía Física II para el programa del CICLO BASICO DE INGENIERÍA, Documento de trabajo (Working Paper),ALEXANDER CORTES SOTO,.,2015,,"Ciclo Básico de Ingeniería,",
Alexander Cortés Soto,Guía Física I para el programa del CICLO BASICO DE INGENIERIA, Documento de trabajo (Working Paper),ALEXANDER CORTES SOTO,.,2014,,"Educación,",
Tatiana Hernández Cifuentes,Caracterización socio-económica de las familias de los productores asociados a APROFRUVERF, Documento de trabajo (Working Paper),"TATIANA HERNANDEZ CIFUENTES, YORLADYS MAYILSEN MARTINEZ AROCA, DANIEL LOPERA MOLANO, CARLOS MAURICIO SANTANA SAENZ, ANGELA MARIA LOPERA MOLANO, MARLY VIVIANA TAFUR OSORIO",.,2018,,,"Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria,"
Luz Adriana Sánchez Echeverri,El uso de plástico reciclado para el desarrollo de materiales de construcción no estructurales, Documento de trabajo (Working Paper),"LUZ ADRIANA SANCHEZ ECHEVERRI, NELSON JAVIER TOVAR PERILLA, ANGELA MARIA OSPINA OVIEDO",.,2022,,,"Ingeniería y Tecnología -- Ingeniería de los Materiales -- Compuestos (Laminados, Plásticos Reforzados, Fibra Sintéticas y Naturales),"
Luz Adriana Sánchez Echeverri,Problema de ruteo de vehículos. Importancia para la logística y métodos de solución,Areas: ,LUZ ADRIANA SANCHEZ ECHEVERRI,.,2022,,,
Nyckyiret florez barreto,Aplicaciones de las Ecuaciones Diferenciales, Documento de trabajo (Working Paper),NYCKYIRET FLOREZ BARRETO,.,2009,,,
Nyckyiret florez barreto,Notas Universitarias - Taller de Fundamentos de Matematicas, Documento de trabajo (Working Paper),NYCKYIRET FLOREZ BARRETO,.,2008,,,
Nyckyiret florez barreto,TALLERES DE CÁCULO 1 SEGUNDA EDICIÓN, Documento de trabajo (Working Paper),NYCKYIRET FLOREZ BARRETO,.,2014,,,
Sergio Alejandro Balaguera Reina,El Plan de Conservación de Felinos del Caribe colombiano: una herramienta para la conservación de una región única en Colombia., Documento de trabajo (Working Paper),SERGIO ALEJANDRO BALAGUERA REINA,Colombia.,2010,,,
ALFREDO JOSE TORRES BENITEZ,Estudio de la composición fisicoquímica de los lodos fluviovolcánicos de Armero-Tolima y su relación con los procesos de sucesión vegetal, Documento de trabajo (Working Paper),ALFREDO JOSE TORRES BENITEZ,.,2013,,,
